[00:03] 大家都知道图像是大自然创造的
[14:02] mim可能效果好一些
[14:05] 但是我依然不看好
[14:06] 我当时大概想明白了是为什么
[14:09] 原因是这些不管是contrast learning还是mim
[14:14] 它 somehow都在学某种不变性
[14:17] 对
[14:17] 确实不变性
[14:18] 对于CV的
[14:20] 尤其是视觉的这个reparation
[14:22] 我是非常非常关键的
[14:23] 但是问题是这两种方法是他所学到的不变性
[14:27] 它并不是data追问
[14:29] 而是完全的handcraft
[14:30] 因为我们知道对于contrast learning来说
[14:35] 它非常非常依赖你的augmentation
[14:38] 就是你这样的构造方法
[14:40] 对
[14:41] 它实际上是在鼓励
[14:42] 就它的负样本部分
[14:44] 你可以认为它是一个regulator
[14:45] 它在鼓励一个最大商
[14:47] 就是防止信息坍缩
[14:48] 对
[14:49] 而它的分子部分是一个regulator
[14:50] 其实是在学习一种不变性
[14:54] 但这个不变性不是数据赋予的
[14:57] 而是你通过人工design的augmentation赋予的
[15:01] 对
[15:01] 但是这就其实又走到了更早
[15:04] 我们之前就说人工设计的老路上
[15:07] 你看NLP为啥这么work
[15:09] 它是真正做到了learn from data
[15:12] 我有越高质量的语料
[15:14] 我这个模型就可以学习语料中的关联性
[15:17] 然后建模的量分布
[15:19] 通过压缩学习的功能
[15:20] 就能够提高它的知识
[15:22] 但CV这个不行
[15:23] 你设计了一个什么样的不变性
[15:25] 比如说对于旋转
[15:27] 比如说color augmentation
[15:29] 或者是multicrop这样的不变性
[15:30] 它最后学到的特征
[15:32] 就是满足你所设计的那几个不变性
[15:34] 那它当然没有skill up的效果
[15:36] 因为你只需要少量的data
[15:38] 我就可以让这个模型学会
[15:40] 然后你就没有信息增量了
[15:42] 当时的mim还是有非常多人
[15:45] 就一用来上去搞的
[15:47] 其实就是label的那个方法啊
[15:49] 啊
[15:49] 啊
[15:49] 但是我也是很早就看到这个方法的上限
[15:52] 也就是说他学到了遮挡不变性
[15:55] 遮挡不变性确实很重要啊
[15:57] 比如说我们人类认识这样一瓶水啊
[15:59] 我把我把这个水给挡住
[16:02] 他就露一个头
[16:02] 但对于一个人类来说
[16:04] 我仍然能猜到的后面是一瓶水
[16:06] 他只要看到一个局部就好
[16:07] 这就是人类认知的遮挡不变性啊
[16:10] 但是呢
[16:11] 拥有遮挡不变性的特征
[16:13] 它只是一个必要条件
[16:14] 它不是充分条件
[16:16] 对
[16:17] 然后你做
[16:18] 比如说你做那个
[16:18] 做那个M&M的方法啊
[16:21] 就是你在数据量很小的时候
[16:23] 你通过这样他的这种算法的设计
[16:26] 可以让你学出这个
[16:27] 拥有遮挡不变性的特征
[16:29] 这个非常好
[16:30] 这个特征非常有用
[16:31] 但是即使你的数据量再扩大
[16:34] 你学习的仍然只是这一种不变性
[16:37] 对
[16:38] 他并没有从数据中激发出更多的不变性
[16:42] 这就是他博弈的关键
[16:44] 所以当时在2022年初
[16:46] 我发
[16:47] 我发了一篇那个
[16:48] 观点的文章
[16:50] 观点文章
[16:50] 我就认为M&M其实是没有用的
[16:53] 没有较大的那个skin law
[16:55] 就没有明显的skin law
[16:56] 当然也也受到了
[16:57] 就全体不少人批评
[16:59] 但现在看来
[16:59] 确实这条路线走的人也很少
[17:02] 确实不是那么的优秀
[17:05] 对
[17:05] 其中最主要的原因就是
[17:07] 其实你看到他的本质
[17:08] 大概就可以意识到这样的一个
[17:10] 他其实就是这样的一个问题
[17:12] 对
[17:12] OK
[17:13] 所以其实到22年开始
[17:15] 对
[17:16] 我对
[17:17] 纯
[17:17] 单纯
[17:18] 是依靠视觉这个东西
[17:21] 尤其是依靠这个静态图像
[17:25] 可以学出智能
[17:27] CV领域的GPT时刻
[17:29] 这件事我是比较悲观的
[17:31] 就是这个时刻呢
[17:33] 就怎么说呢
[17:35] 就怎么说呢
[17:36] 一个是也是大家演绎了这么多年
[17:38] 搞出了各种各样的自建论的方法
[17:40] 但是似乎都没有取得像那个NRT领域
[17:44] 这样就这么容易的dueling的特性
[17:48] 尤其是当时在22年
[17:50] 当我看了两篇paper以后
[17:52] 这两篇paper刚好都是杰森魏的
[17:54] 一篇就是关于
[17:56] 思维链的这个发现
[17:59] 另一篇就是关于这个
[18:01] 涌现性
[18:03] NRT里面有涌现性
[18:05] 这种
[18:05] 这两篇文章
[18:06] 我当时大受震撼
[18:08] 因为当我们
[18:10] 我感觉我研究了这么多年
[18:11] 都还停留在表征这个层面
[18:14] 但是像做NRT的同行们
[18:17] 已经开始在研究
[18:18] 推理
[18:19] 已经在研究更高级别的这个智能特性
[18:21] 我越来越见证
[18:23] 纯视觉这个动脉
[18:25] 可能是有问题
[18:26] 虽然它很重要
[18:27] 但它会很有问题
[18:31] 有什么问题呢
[18:32] 就比如说
[18:33] 我们知道那个
[18:34] 我们就从三个角度来看这个
[18:37] 就是自然语言数据和静态图像
[18:41] 大家视频例外
[18:42] 视频可能蕴含更丰富的信息
[18:44] 但是知道从自然语言的角度
[18:47] 它的深层
[18:48] 尤其在GPT这个框架下
[18:50] 它的深层理解和人类的对齐
[18:54] 这三件事它是合三为一的
[18:59] 也就是说我只需要做
[19:01] 当我像做出了一个类似GPT这样的一个深层模型
[19:06] 来说你建模了它的联合概念
[19:09] 你只要建模了联合概念
[19:11] 你就同时拥有了深层理解和人类对齐
[19:14] 这是为什么呢
[19:16] 比如说像对于GPT这样的
[19:18] 它是个自闭环
[19:19] 像GPT这样的架构
[19:21] 它的前文
[19:23] 你给定了这个前文
[19:24] 当你在输出后文关于前文的这个条件概率的时候
[19:32] 它的前文一定会影响后文的这个条件概率
[19:36] 改变了这个分布
[19:38] 像后面这个分布
[19:39] 它就可以输出跟前文所匹配的这些文字
[19:43] 这其实就是一种理解
[19:46] 因为你可以在中间要求它通过一些crum的约束
[19:51] 让它回答前文中的
[19:54] 你可以任意对前文进行提问
[19:56] 它在这个联合概率建模的过程中
[20:01] 它针对这个后文的这个条件概率进行采样
[20:05] 这就可以回答前文的问题
[20:08] 我们可以认为这就是一种深层
[20:10] 当然就是也是肯定的
[20:11] 因为它本身就是一个
[20:13] 就像GPT的话
[20:14] 它本身就是一个深层模型
[20:16] 那么当然可以对它进行做深层
[20:20] 那么它所运行的
[20:24] 它训练的语料都是人类
[20:26] 来自于人类自然的语料
[20:29] 那你建模了它的分布
[20:31] 那你当然就完成了跟人类的对齐
[20:35] 对
[20:35] 然后我们来反过来再看这张图片
[20:38] 仍然从这三个维度
[20:40] 一个是深层理解和人类对齐
[20:43] 这三个维度
[20:44] 然后你发现图像
[20:45] 尤其是静态图像这个领域
[20:47] 它不是自闭化的
[20:48] 也就是说为什么呢
[20:51] 我给你一张图像
[20:52] 或者给你一个图像数据集
[20:54] 大家想想你能拿到的最多的信息
[20:57] 就能够最充分利用这个数据集的
[21:01] 充分利用这个数据集信息的模型是什么
[21:04] 那肯定是这样深层模型
[21:06] 也就是说我完全可以做一个
[21:09] 深层模型把你这个图像的数据集的
[21:12] 这个联合概率分布都给做出来
[21:15] 我做出了这样的一个模型以后
[21:17] 我认为我已经拿到这个数据集的全部信息
[21:19] 但大家想想这个模型
[21:22] 当然可以做深层
[21:24] 但它能够做离间
[21:27] 这个显然是不可以的
[21:29] 因为这个数据集
[21:30] 这个数据集你建模的是这个数据集的所有图像
[21:34] 它的每一个pixel之前的联合分布
[21:37] 这个联合分布的建模可以用无数种方式
[21:41] 无数种方式
[21:42] 但是呢没有什么这里面的一个限制要求它这个
[21:47] 建模的方式就刚好符合人类对这个图像的理解方式
[21:52] 因为图像的客观存在
[21:53] 它是来自于大自然
[21:54] 但是对它跟人类的就是如何理解
[21:59] 在这件在这这个信息并不蕴含在这张图上
[22:03] 可能有少量的图
[22:04] 比如说你我说带文字的图
[22:06] 你可以认为是它拥有人类对它的理解
[22:09] 但是也in general一个图像是大家都知道图像是大自然创造的
[22:15] 对对它不一定啊
[22:16] 它不管你人类对它的理解是什么样的
[22:17] 人类对它怎么理解
[22:18] 它就在那里
[22:20] 对
[22:20] 所以这张图像呢
[22:21] 它不必然包括人类对它的理解
[22:26] 它其实缺少了这类信息
[22:27] 大家想为什么我们说的mrm或者像那个contrast
[22:33] 它双方能瓦合的程度
[22:35] 说白了还是注入了人类的理解
[22:37] 对比如我这张图摆在这里
[22:39] 如果我不注入
[22:42] 我不注入我这张图的特征
[22:47] 需要有某种不变性这样的一个东西
[22:50] 那么这张图它自己是不可能拥有这样不变性
[22:54] 因为它不知道你对人类来说
[22:56] 比如说对人类来说
[22:57] 我理解这个杯子
[22:58] 它需要一个遮挡的不变性
[23:00] 它的特征是遮挡不变性
[23:01] 你如果遮挡注意部门
[23:03] 我还知道它是杯子
[23:04] 但如果是一个动物
[23:05] 或者是一个外星生物
[23:07] 或者是一个机器人
[23:09] 它需要用人这种方式来理解这张图
[23:12] 当然是不必不必呗
[23:14] 也就是说遮挡不变性这件事
[23:16] 它并不居然在这张图上
[23:17] 所以你会发现这个理解和深层
[23:22] 就至少静态图像这个维度就产生了割裂
[23:27] 当然很多人问视频能不能补偿这些
[23:29] 因为视频我可能有不同角度拍摄
[23:32] 它自然就有了这种遮挡不变性
[23:34] 我只能说有可能
[23:36] 但是视频数据的利用
[23:37] 实际上是要比
[23:39] 这可能是下一个方向
[23:40] 因为视频数据的有效利用
[23:42] 是要比静态图像的利用要难很多
[23:45] 它的信息密度也是低很多
[23:47] 最后一点就是人类对齐
[23:49] 那自然更不必说了
[23:51] 我们语言模型的语料是人类生成的
[23:53] 你在上面训练一个生成模型
[23:55] 你自然你的分布跟人类所产生的分布是对齐的
[24:00] 但这个图像它来自于大自然
[24:02] 它是未必是对齐的
[24:05] 或者说它一定不是对齐的
[24:07] 这就是对静态图像来说它的理解深层
[24:10] 还有人类对齐这三点是隔裂
[24:12] 也就是说你在静态图像上你做再多的东西
[24:15] 我认为
[24:16] 你都很难形成人类所谓意义上的那种智能
[24:21] 所以其实想到这里
[24:23] 我是在2022年那回我基本上就停止了
[24:28] 对静态图像所表征这一块的研究
[24:31] 我认为要在视觉里面
[24:33] 首先一个真正的AGI系统
[24:35] 或者智能系统
[24:37] 视觉肯定是必不可少的这样的一个模块
[24:41] 但是肯定不是按现在
[24:43] 我们做contrast learning
[24:44] 做MM这样的一个方式
[24:46] 就可以真正通向
[24:49] 就在视觉领域的智能
[24:52] 所以我当时大致构思了一个方向的
[24:56] 短期内我可以利用视觉和语言的对齐关系
[25:00] 你们知道在互联网
[25:01] 我们有大量的图文交错类的数据
[25:04] 不管是网页还是
[25:08] 不管是网页还是像论文
[25:10] 还是期刊杂志还是公众号
[25:12] 我往往都组织成这种图文交错
[25:14] 文牌的这种形式
[25:16] 当然自己是很难表达很多东西的
[25:19] 但是如果我让图像嵌入在文字的文字流里面
[25:24] 我利用文字的自闭环
[25:27] 我刚刚说的叫理解生成和人类对齐
[25:31] 这个自闭环的性质
[25:32] 是不是这个图像也可以藉由这种对齐
[25:36] 让我这个智能系统拥有智能能力
[25:38] 这是一个短期内最容易想到的方法
[25:42] 但是长期的
[25:43] 因为这一类语料毕竟是个BIOS
[25:46] 所以它是有限制性的
[25:48] 所以它很少包含非常细节的视觉的过程
[25:54] 尤其是物理运动的这种过程
[25:56] 这种数据更多的还是在视频里面
[26:00] 从长期来看
[26:01] 我们还是要通过视频
[26:02] 甚至像这种巨声系统
[26:05] 从这里面来挖掘视觉智能的可能性
[26:08] 但是到20年之后
[26:10] 其实想到这里
[26:10] 框架我觉得就已经像VR模组
[26:14] 就是做这个视觉智能的可能性
[26:16] 我觉得多么太大模型
[26:17] 这个想法就已经非常显现了
[26:20] 我有一个比较短期的目标
[26:23] 还有一个比较长期的目标
[26:25] 那就干嘛
[26:26] 但是也聊了一些人
[26:28] 大家都不相信
[26:30] 因为刚好22年那个时间点
[26:32] 年终那个时间是比较尴尬
[26:34] 因为当时在21年的时候
[26:36] 尤其是国内去出过一波大模型的热潮
[26:40] 就在GPT
[26:40] 尤其是GPT-3出来以后
[26:42] 就相当的人都跳出来说
[26:43] 我做了一个多少亿参数了
[26:46] 甚至万亿的都有这样的大模型
[26:49] 但是最后都没有取得非常好的效果
[26:52] 对
[26:53] 所以大部分人是不信这个故事
[26:56] 对
[26:56] 当然这里就要有差异
[26:59] 为什么那个时候的大模型
[27:01] 其实效果都不好
[27:02] 其实我认为主要可能还有两个原因
[27:06] 第一个就是老生常难
[27:07] 属于质量
[27:08] 尤其是像那些季膜
[27:12] 它在没有instructuring的时候
[27:14] 它确实是很不好用
[27:16] 人做的事情也很少
[27:18] 效果还不好
[27:19] 但是当时更重要的一个原因
[27:21] 我认为是大家远远低估了
[27:24] 这个skilling劳动
[27:26] 这个数据这部分所占的比例
[27:29] 尤其是像GPT-3出的时候
[27:32] 就GPT-3刚出的那回
[27:34] 它用了千亿的参数
[27:36] 但只配了几百币的数据
[27:38] 按今天的观点来看
[27:40] 这就是相当于完全倒置了
[27:43] 对像这么大的一个模型我不配了
[27:45] 对像这么大的一个模型我不配了
[27:46] 这个十几T甚至几十T的数据
[27:50] 肯定都对不起这一层
[27:51] 所以当时模型都是一个训练严重不足的状态
[27:54] 也是因为这两个原因
[27:56] 其实导致了其实整个21年
[27:59] 其实大家在复现GPT-3
[28:01] 其实没有做出特别好的效果
[28:04] 但是很快时间到22年底
[28:08] 确实GPT出来
[28:09] 就一下子就打了很多人的脸
[28:13] 说原来这个东西可以做到这么有用
[28:16] 让人做的给人感觉是非常promising
[28:19] 感觉这个智能时代就一下来了
[28:22] 因为过去主要是叫视觉类数据
[28:24] 今天是文本类数据
[28:26] 大家都想更好的结合起来
[28:28] 从我的理解下
[28:29] 今天视觉类的很多数据
[28:30] 其实还没有跟文本关联起来
[28:32] 其实关联起来也是一个很难的
[28:34] 我不知道做这个过程中
[28:36] 会遇到哪些难的地方吗
[28:38] 不管说数据上
[28:40] 包括架构上
[28:41] 包括做实验的过程当中
[28:43] 其实我觉得就是做动模态
[28:46] 模型的机构都会有
[28:49] 或者团队都会跟我有类似的想法
[28:51] 就觉得语言模型
[28:53] 尤其GPT在GPT成功之后
[28:56] 因为它是个纯语言模型
[28:57] 就觉得多摩泰应该可以复刻同样的路线
[29:01] 包括我创业的时候当时也这样想
[29:03] 当时从现在看也是大大低估了这件事的难度
[29:07] 我当时想法其实非常简单
[29:08] 无论是互联网还是书籍
[29:10] 我们当下都有大量的这种图文混材
[29:12] 我们交错了这些数据
[29:15] 其实
[29:16] 语言next-to-end prediction
[29:18] 这条路我们验证是walk
[29:21] 对
[29:21] 那么对于
[29:23] 那我图像进来
[29:24] 那我就很简单
[29:25] 我想办法把这个图像
[29:27] 首先用tokenizer的方法
[29:29] 把这个图像对齐到跟语言同样的一个空间
[29:32] 对
[29:33] 那么我也用跟这个语言相同的方式
[29:37] 来处理这种多摩泰的交错式的数据
[29:41] 也就是说遇到文字predict文字
[29:43] 遇到图像predict文字
