[00:03] 人就是一个标准的通用的VOA模型大佬
[06:28] 但此前的强化学习依然是没有进入到极前的领域里面
[06:32] 它可能是拿来去做一些小的游戏
[06:35] 或者是下棋等等
[06:37] 当然就是说AlphaGo也是下棋
[06:39] 但是它代表的是说
[06:40] 因为AlphaGo它围棋是有非常大的这样的一个状态空间去搜索的
[06:46] 所以说它用深度神经网络和强化学习结合
[06:50] 所以说它能够解决连续的空间的问题
[06:53] 而极前就是在一个连续空间里面做行为决策的
[06:56] 所以说这个的出现代表着
[06:58] OK 我们可以用AI和用神经网络的方法
[07:01] 去继续做极前的行为决策和控制了
[07:05] 所以这是一个非常重要的一个重要
[07:07] 当然就是后面又有一些非常一线的工作
[07:10] 因为当时也正在我读破期间
[07:12] 基本上AlphaGo出现之后
[07:13] 我很快的也往这个方向去做相应的很多的研究
[07:18] 但是说这块还是依然不够强大
[07:21] 就是说它还是很难做到非常通用
[07:23] 我们做机器人
[07:24] 包括做机器人AI
[07:25] 其实很多人
[07:26] 最终的一个目的
[07:27] 就是想做非常通用的这样的机器人的模型
[07:30] 然后直到CHIGBT的一个出现
[07:32] 它秀出来了
[07:34] OK 虽然它还不是一个机器人的模型
[07:36] 它是一个纯一元模型
[07:37] 但它秀出来
[07:38] 我们有某种AI的方法能够做到足够的通用
[07:41] CHIGBT的话
[07:42] 你基本上你问他
[07:43] 在任何的contact下面任他任何的问题
[07:46] 他都可以给你回答的不错
[07:48] 所以说这个点让大家看到了
[07:51] OK 我们有希望
[07:52] OK 真的去构建一个比较通用的机器人的模型
[07:56] 所以因为机器人确实是蛮长的一个历史了
[08:00] 基本半个多世纪了
[08:01] 对吧
[08:02] 第一台机器人是1959年6年的时候就出来了
[08:07] 然后到后面包括各种轮式机器人
[08:09] 包括无人车
[08:10] 包括这些工业机器人
[08:11] 写作币等等
[08:12] 一波又一波又非常多
[08:14] 但是之前都没有这一波这么火
[08:16] 原因就在于之前它没有足够强大的AI去支撑机器人
[08:21] 所以说之前的机器人是什么
[08:23] 是100种场景100个任务
[08:26] 我要重新开发100种机器人
[08:30] 那么恰吉比的出现
[08:32] 使得我们看到这样一种曙光这样一个希望
[08:35] 我们不用去再做专用的开发专用的模型
[08:38] 或者是写专用的代码对每一种任务
[08:40] 这个是完全没法scale的
[08:42] 所以一直到现在为止
[08:44] 那么基于此前传统的机器人的技术的
[08:48] 即使是这个出货量最多的工业机器人公司
[08:52] 它的这个出货量跟其他的我们现在像这个车或者手机或者PC或者等等
[08:58] 这些量来比的话还是非常微微不足道的
[09:02] 原因就是刚才说的
[09:04] 它完全是专用化没法通用化
[09:06] 所以说它很难很难去scale
[09:08] 然后这里面的话就是上面也提到
[09:10] 也有本体的原因在里面
[09:13] 所以为什么人性机器人
[09:14] 因为人性机器人它就是一种非常通用的本体
[09:17] 那么此前的话我们机器人就是说有各种各样的形态
[09:21] 那么基本上是针对
[09:22] 就是说相应的任务
[09:24] 你就得重新设计这样一个形态
[09:26] 所以刚才说到你一百种场景
[09:28] 你不光是要写一百套代码
[09:31] 你还要造一百种不同的机器人
[09:33] 这样更加的增大了它的这个scaling的一个难度
[09:38] 所以说叠加起来
[09:40] 就是说这一波巨神智能和人性机器开始火起来
[09:44] 然后也是因为大家看到了
[09:45] OK 未来我们通用机器人的这个曙光
[09:48] 经过了半个多世纪
[09:49] 不管在模型上还是在本体上
[09:51] 大家都看到了通用的可能性
[09:52] 那就这两年迅速的涌现了几十家的
[09:56] 不管是机器人还是人性机器人创业公司
[09:58] 这些公司目前的技术路线分别是什么样的
[10:02] 它的技术路线现在是收敛了吗
[10:04] 有共识吗
[10:05] 以及它的场景收敛了吗
[10:07] 逐渐在收敛的过程中
[10:09] 但现在还没到咱们完全收敛的这个点
[10:13] 对 并且我们一定会先进入技术的收敛期
[10:17] 然后再到场景和商业应用的收敛期
[10:21] 显然我们这一波的商业活动
[10:22] 它一定是基于我们这一波新的这一波出来的
[10:26] 那么传统的机器人的商业化
[10:27] 其实已经被之前大量的机器人
[10:30] 各类机器人公司挖掘了很多了
[10:33] 所以我们这个时代的我们新的这一波
[10:36] 想做的商业化
[10:37] 它也一定是基于我们新的这一波技术的
[10:39] 当然我们的商业化也在同步在探索
[10:41] 商业和技术也不是说完全结构
[10:43] 非得技术做完了才到商业化
[10:45] 那么我们技术的方向
[10:47] 包括我们数据的来源或者是等等
[10:49] 很大程度也需要和商业闭环
[10:52] 这样的话能够有一个促进的一个作用
[10:55] 然后我们技术的进展也能够启发说
[10:58] 帮助我们判断我们能做出什么样的商业模式
[11:02] 以及我们的能力足够做哪些形态
[11:05] 但是大体上会说先技术收敛
[11:09] 然后到商业收敛
[11:10] 现在技术路线它核心包括哪些
[11:12] 还是我们今天后面会非常详细的讲到
[11:14] 对对对
[11:15] 这就是说后面会主要讲的
[11:17] 当然就是说我们今天主要集中在
[11:19] Robot Foundation Model
[11:20] 就是研究通用的
[11:22] 这样的技术
[11:22] 这样的机器人的模型
[11:23] 往这条路
[11:24] 就是这是我认为这个才是正解
[11:27] 我们只有这样才能通向通用的机器人
[11:30] 但其他还有非常多
[11:31] 各类各样的
[11:33] 基于传统的方法的一些改进或者拍拍
[11:36] 就是我认为它可能短期内
[11:38] 也许能帮助我们拓某些商业的场景
[11:42] 但是它长期来说
[11:44] 没法帮助我们通向真正通用的
[11:46] 这样机器人的这条道路
[11:47] 其实今天会整个把
[11:49] 在我的视角里面
[11:50] Robot Foundation Model和以及
[11:52] 那么最近的
[11:52] 已经非常重要的这个VLA的这个模型
[11:56] 它的一个脉络
[11:58] 跟着去梳理一下
[11:59] 然后通过讲解论文的这样的一个形式
[12:01] 然后从这里面也可以看到大家是怎么样
[12:04] OK一步一步的
[12:06] 可能形成了大致这样一个共识
[12:08] 为什么大家现在都在提VLA架构
[12:11] 这个架构能不能给大家介绍一下
[12:13] 以及它的由来发展
[12:15] 然后VLA架构是解决通用机器人的
[12:18] 终极架构吗你认为
[12:20] 先说什么是VLA
[12:21] 就是V就是Vision
[12:22] 就是Language
[12:23] A就是Action
[12:24] 在我眼里的话
[12:25] 我所指的这个VLA的话
[12:27] 它也需要是一个端到端的模型
[12:29] 所以说我们是希望一个端到端的大的
[12:32] 这样的一个能够去Skill和泛化的模型
[12:36] 然后它同时能够处理Vision
[12:38] Language和Action
[12:40] 这三种非常重要的这个模态
[12:43] 然后当然这个VLA也是逐步的在
[12:45] 最开始是LLM纯语言对吧
[12:48] 然后后来我们有VLM
[12:49] 有世界语言模型
[12:51] 然后现在呢我们要做机器人
[12:52] Action必须加上
[12:53] 所以Action
[12:54] 当然就是说在我眼里这是泛指的这么一种
[12:57] 对吧
[12:57] 因为机器人还有别的一些模态
[12:59] 就它可能还有触觉
[13:00] 那么可能还有这个声音
[13:02] 可能还有等等
[13:03] 但是我是希望把这些都给加到里面
[13:05] 我就这个字母就别无限的去延长了
[13:08] 就是在我眼里就把那些也都加在里面
[13:11] 所以说如果以这样一个非常通用的观点来看
[13:14] 它是端到端的模型
[13:15] 然后它有非常全的各种各样的机器人相关的模态都进去
[13:20] 那么我认为这就是我们最终要做的
[13:22] 这样一个事情
[13:23] 当然就是说我们现在对吧
[13:26] 大家做出来的这些VLA的模型
[13:27] 并不一定代表未来最终的这样的一个路线
[13:30] 但是说刚才说到的这样一个大的一个VLA的概念的话
[13:35] 是我们最终的要做的事情
[13:37] 现在大家都想通往通用机器人
[13:39] 通用人性机器人
[13:40] 你觉得现在最棘手的几个
[13:42] 尚未解决的问题是什么呀
[13:44] 最关键的几个一旦解决了
[13:46] 可能就爆发了的问题
[13:47] 你觉得可能是什么
[13:48] 我觉得如果要说最最重要的一个问题就是
[13:52] 能够去scale的这样的一个模型的架构
[13:57] 然后这就是最核心的能够scale的模型架构
[14:01] 我认为整个行业正在往这个方向去进展
[14:04] 但是暂时还没有到
[14:07] 暂时还没找到
[14:07] 正在往这块快速的进展
[14:09] 这个能够scale的模型架构目前是一个科学问题
[14:12] 还是一个工程问题
[14:13] 都有
[14:14] 当然就是说这个架构本身的话
[14:17] 很大程度上的话是一个科学问题吧
[14:21] 因为
[14:22] 对于巨声来说的话
[14:24] 你可能很多时候
[14:25] 包括后面我讲的有一些方法
[14:27] 你甚至会涉及到
[14:29] 我会思考很多人是怎么去思考
[14:30] 人是怎么去学习
[14:31] 因为人就是
[14:33] 人就是一个标准的
[14:35] 通用的VOA模型大脑
[14:38] 人就是一个AGI
[14:39] 而且我认为就是说未来的AGI
[14:42] 它最终的形态就是巨声的
[14:45] 到最终某一个时刻的话
[14:46] 我们所有的
[14:47] 语言的大模型
[14:49] 自动驾驶的这些大模型
[14:50] 弹道大模型
[14:51] 还有机器人的这个模型
[14:52] 都会Unify起来
[14:54] 都会统一起来
[14:56] 成为一个终极的一个巨声模型
[14:58] 然后你可以理解
[14:58] 它就像人一样对吧
[15:00] 人的话你也可以说话
[15:01] 你可以干各种事情
[15:01] 做各种视觉事情
[15:03] 你也可以做各种Action
[15:04] 你还可以开车
[15:05] 所以这里面会到最终要达到
[15:08] 我们真正想要非常通用的模型的话
[15:10] 会涉及到很多科学的问题
[15:12] 就是巨声智能的本质到底是什么
[15:15] 我们可能需要去进行进步的一个探索
[15:18] 当然就是说
[15:19] 我们会是一个阶段一个阶段去
[15:22] 达到的对吧
[15:22] 就像自动驾驶对吧
[15:23] NV2 NV3 NV4对吧
[15:25] 逐步的去上去
[15:28] 然后这个过程中呢
[15:29] 也会涉及到非常多工程上的一个问题
[15:33] 对吧
[15:33] 那么就像是其实语言模型
[15:35] 它的突破到底是属于科学突破
[15:37] 还是工程突破
[15:38] 这里面的界限其实也不明晰
[15:40] 在你心中预计多少年
[15:42] 我们能看到遍布机器人的这个世界
[15:45] 遍布机器人对吧
[15:47] 我希望在五年的这个时间吧
[15:50] 五年这个很乐观啊
[15:52] 目标目标就是看怎么去定义遍布
[15:56] 就是说因为现在的机器人还是太少了
[15:58] 现在你身边你真正用的机器人几乎没有
[16:01] 就是说我们是希望在比如说五年的时间
[16:03] 真正的说你经常能看到对吧
[16:06] 它不一定是达到说每家每户都有好几台这种
[16:09] 但是你经常去哪儿
[16:11] 你都能看到有一台机器人
[16:12] 然后并且有的家庭里面也有开始有机器人
[16:15] 对吧
[16:15] 我觉得这个是在五年的时间是非常有希望实现的
[16:20] 好
[16:20] 那接下来把主场交给陈老师
[16:22] 来跟你一起学习
[16:24] 好的谢谢陈老师
[16:25] 好的那我下面的话就是会沿着我做这个snare
[16:29] 然后进行相应的这样一个介绍
[16:31] 嗯
[16:32] 那么首先就是说讲一讲
[16:34] 就是为什么咱们需要这样的一个机器人的仿对性model
[16:39] 那么首先我们看AI之前是怎么去工作的
[16:42] 那么这儿举了很多例子
[16:43] 就是说在这一波这个大模型之前
[16:47] 那么AI基本上它是分很多种模型去解决各种各样不同的这样的问题
[16:52] 分割对吧
[16:54] 你的classification对吧
[16:55] 然后你的这个标注啊
[16:57] VQI等等
[16:58] 每一个都是一个不同的一个模型
[17:00] 当然就是说大家觉得这样的话
[17:02] 每个模型你收集不同的这个数据
[17:04] 你的训练是非常麻烦的
[17:06] 而且你需要keep太多的模型
[17:07] 而且每一个模型的能力都不是特别强啊
[17:10] 所以说那我们看到那么近两年的这个发展
[17:13] 从语言模型开始再到一些多模态的模型
[17:16] 那么逐步的我们开始说构建了这样的AI的foundation的model
[17:21] 然后它是拿各类各样的
[17:22] 可能带有不同模态的这个数据
[17:25] 非常大量的数据
[17:26] 然后你带去训练
[17:27] 然后让它dab到各种各样的不同的任务下面
[17:31] 然后会发现这样的会造成非常好的这样的效果
[17:34] 其实是把大脑统一了
[17:36] 对对把大脑进行统一了
[17:38] 所以说我们也希望说
[17:40] 你可以看到那么现在的总结一下
[17:43] 现在的AI是怎么去work呢
[17:45] 对吧就跟之前不一样
[17:46] 不是说各种各样的pipeline
[17:47] 各种各样的这个小模型
[17:48] 是说一个巨大的一个预训练的一个模型
[17:51] 我们可以把它叫做
[17:52] foundation model
[17:53] 然后完了之后
[17:54] 这儿最开始我们的这个foundation model
[17:58] 它是相对你要用到不同的模型上
[18:01] 我可以进行一个这个特定模型的funtune
[18:03] 对吧
[18:04] 但是比如说我们的很多语言模型
[18:05] 那现在也不需要进行相应的funtune了
[18:08] 你直接prompt就已经足够足够好了
[18:11] 这是在已经强大到一定程度的时候
[18:13] 已经从funtune再到直接的一个prompting
[18:16] 然后ZeroShot的generalize到这个新的这样的一个任务
[18:20] 然后你可以把它拿来去做
[18:22] 不管是根本特性model
[18:23] 或者是其他的各种模型都是可以的
[18:26] 那么robotic learning是怎么做的呢
[18:30] 就是说我们其实看到对robotic learning
[18:33] 刚才也提到了
[18:34] 就是说有从近十几年开始
[18:37] 那么都有相应的研究去做出来
[18:40] 那么目前的大部分
[18:42] 就是很多的这个真的可以开始去用的这些模型
[18:45] 包括我们的aloha
[18:46] 它其实也是说单独的一个任务对应一个模型
[18:51] 然后这样来说
[18:52] 就是用不同的模型来去做的
[18:54] 这个其实是指不同的机器人
[18:56] 比如说这有PR2机器人
[18:58] 对吧
[18:58] 这个是机器人的型号
[19:00] 然后他在做一个pancake
[19:01] 是指然后后面跟的是他的任务
[19:03] 我是指这么来去说的
[19:05] 这个比如说是另一款机器人
[19:07] 这个比如说是U20这款机器人
[19:09] 然后他在做一个box picking等等的
[19:11] 就是说你可能每一个不同的本体和一个任务的话
[19:16] 你都是用不同的模型来去做的
[19:19] 对就跟之前AI一样
[19:22] 所以说对专用的
[19:23] 所以说这个已经比较先进了
[19:25] 因为在传统的话
[19:27] 你是编程
[19:28] 你是不同的机器人不同任务
[19:29] 你写代码对吧
[19:31] 我们这说的是robot learning
[19:32] 那么我们近十年已经开始进入进化到
[19:35] 有robot learning的方法
[19:36] 但是说他还是说
[19:38] 比如说我们之前的这个小模型的
[19:41] 不管模型还强化学习
[19:42] 那都是说OK
[19:44] 我对应这一个机器人的本体和这一个任务的话
[19:48] 我可能需要重新训练一个模型
[19:50] 它本身还是一个转运
[19:52] 所以说我们需要进一步的去改进进一步的进化
[19:55] 就沿着刚才我们AI的大模型
[19:57] Foundation Model的这样的一个路子
[19:59] 我们能不能说
[20:00] 也可以有各种各样的机器人的数据
[20:03] 或者其他的各种数据
[20:05] 然后一起来去培训一个非常巨大的
[20:09] 当然size不是很关键
[20:11] 它肯定一定程度要比之前的要大
[20:12] 但是后面会讲这个size的大小
[20:15] 我们要根据这个机器人的本体的算力来去定
[20:19] 但是anyway就是说一个相对来说比较大的
[20:22] Robot Foundation Model
[20:23] 然后再大量的这个数据
[20:27] 机器人相关的各种各样的这个数据
[20:29] 预训链下面之后
[20:31] 形成一个比较通用的Robot Foundation Model
[20:34] 然后在这个基础之上
[20:35] 我们去prompt或者fine tuning
[20:39] 然后我们也一定会经过这样一个过程
[20:41] 就是说你直接靠prompt
[20:44] 就能generalize到新的任务和本体
[20:47] 这个是一个终极目标
[20:49] 对这个也是非常难的
[20:51] 那么
[20:52] 机器也一定会先经过说fine tuning
[20:54] 然后主播的这样来去做
[20:56] 那么后面我们介绍的很多方法
[20:58] 也是说这样的一个架构下面
[21:00] 它就可以拿去做相应的这样的一个任务
[21:03] 那比如说这个剪个垃圾
[21:05] 或者做一些分剪
[21:06] 或者等等这样的具体的任务
[21:09] 所以这个是我们整体的这样的一个目标
[21:13] 那么这儿我会大致分两个类
[21:15] 然后基本上我们的Robot Foundation Model
[21:18] 大家开始去研究这个问题
[21:19] 也是经过了这样的一个顺序过程
[21:22] 那么首先大家是研究怎么把现有的AI的
[21:25] 比如说语言的模型或者视觉语言模型
[21:28] 然后直接拿来用到机器人里面
[21:30] 或者跟之前的机器人的这些方法相结合
[21:33] 直接拿来用
[21:34] 大家先是经过了这一步
[21:36] 然后逐步的后来就开始有一系列方法
[21:39] 就是我们真的是预训练一个机器人的防弹性矛盾
[21:43] 单单单单机器人的防弹性矛盾
[21:45] 那么今天我们主体就是我们所指的VLA
[21:49] 其实也是在这一类里面
[21:51] 我们主要会进行的就是这一类里面我们主要会进行一个机器人的防弹性矛盾
[21:52] 我会介绍这一类比较多
[21:53] 那么这一类我前面也会先大致的介绍一下
[21:56] 它的主要的这个思想
[21:59] 对
[22:00] 那么这儿是给的我们相对传统的机器人的三块
[22:07] 然后我们可能有一个目标
[22:08] 完了之后
[22:08] 你有decision和decision making
[22:10] 对吧
[22:11] 相应的和planning这样的一个规划
[22:14] high level的一个规划
[22:14] 然后你很需要这样一个perception
[22:18] 你需要感知这样的环境
[22:19] 而且你需要actuation
[22:20] 你在环境里面去
[22:22] 执行你具体的动作和行为
[22:25] 所以我们大体分这三类
[22:27] 当然说比如说之前传统无人车
[22:30] 可能还有更多的预测或者等等
[22:32] 但是我把这三类最主要的给出来
[22:35] 那么最开始大家是想什么
[22:37] Ok最早的是说我们把planning这一层用一个语言模型来去替代
[22:42] 因为这是最自然的
[22:44] 因为planning就是我规划我要去接个水
[22:48] 那么我第一步要干什么
[22:49] 第二步要干什么
[22:49] 第三步要干什么
[22:50] 然后本身我们在脑海里
[22:52] 一起规划的时候也是可以用语言去描述出来的
[22:55] 所以非常自然可以用现有的语言模型
[22:56] CHIGBT直接去规划
[22:58] 然后但是保持我比如说perception和actuation
[23:01] 我可能还是说传统的机器人的这样的一个方法
[23:04] 对吧
[23:05] 那么这有一个例子
[23:06] 就如果你给CHIGBT或者给某一个语言模型
[23:09] 然后你说假如说我是一个mobile robert
[23:13] 对吧
[23:13] 我有一个机械币
[23:14] 我怎么样去做一个咖啡
[23:18] 你可以看到这个语言模型可以非常好的
[23:20] 虽然它没有本体的语言模型
[23:21] 虽然它没有本体的语言模型
[23:21] 虽然它没有本体的语言模型
[23:21] 它没有本体或者等等
[23:22] 但它其实可以非常好的把这个任务拆解好
[23:25] 你怎么样一步一步去做咖啡
[23:27] 然后他也会假设
[23:28] 他也会假设
[23:29] 你可能需要一个甲爪
[23:31] 需要一个graper
[23:32] 因为他基本上知道机器人的每一个部件
[23:35] 大概有什么
[23:36] 他也知道机器人大概有哪些技术
[23:38] 对吧
[23:38] 他可以推理你大概能干什么
[23:40] 所以他可以规划出来
[23:41] 你一二三步
[23:43] 你该怎么去做
[23:44] 对
[23:45] 然后完了之后你就可以
[23:46] 因为他已经规划完了之后
[23:47] 其实直接做一个替代
[23:49] 规划了第一步之后
[23:50] 然后你用
[23:51] 传统的机器人的方法
[23:52] 然后可以做接下来的事情
[23:55] 然后这里面就是说相关一个工作
[23:58] 也是比较有名的一个工作
[23:59] 就是Google在2022年的时候
[24:01] 做的一个工作
[24:02] 叫SEECAN
[24:03] Do as I can not as I see
[24:06] 这个是做的什么样一个工作
[24:08] 它是就是需要把
[24:09] 就是做刚才的事情
[24:10] 把语言模型跟机器人的真正他的行为
[24:12] 能够结合起来
[24:14] 然后他是希望能够通过这个
[24:16] 能解决一些比较常识序的这些任务
[24:19] 然后直接通过自然语言的
[24:20] 这个命令
[24:23] 然后来去让机器人做相应的事情
[24:25] 其实他希望机器人做的事情
[24:26] 是一个我们最终满通用希望的
[24:28] 这样达到的一个效果
[24:30] 但是他就是说方法上的话
[24:32] 还不是我们现在想的
[24:33] 最新的AVA的方法
[24:35] 比如说有很多
[24:36] 我把这个饮料倒洒了
[24:39] 然后你们能不能帮我
[24:41] 对吧
[24:41] 就是说不太比还比较间接的
[24:43] 比较复杂这样一个指令
[24:45] 反正我们会知道
[24:46] 就是说比如说你给语言的模型的话
[24:49] 它基本上可以告诉
[24:50] 你大概能做哪些事情
[24:52] 对吧
[24:53] 然后但是说语言模型给的这些事情
[24:56] 它不一定能跟机器人
[24:59] 它能做的事情相吻合起来
[25:02] 对所以C看这样什么方法
[25:04] 就是说把这两块可以结合起来
[25:07] 就是说一方面有语言
[25:08] 它给出来有哪些
[25:09] 可以做的需要去做的事情
[25:12] 然后并且有一个打分
[25:14] 然后另一方面就是说每一样事情
[25:16] 那么它有一个
[25:17] 它单独训的一个叫Valid Function
[25:19] 这个可以去判断
[25:20] 我们当前这个机器人
[25:22] 在当前这个状态下是否能做这些事情
[25:24] 所以是把语言模型给出来
[25:26] 可以做的和它能做的这个事情
[25:28] 所以叫C看对吧
[25:29] 然后可以做和能做的事情
[25:31] 然后做了一个匹配
[25:32] 然后这样的话去规划
[25:34] 对对对对
[25:36] 就有一个方向会告诉我
[25:38] OK这些任务
[25:39] 它能这个机器人能不能做当前
[25:41] 对吧
[25:41] 然后这个语言模型是告诉
[25:43] 要完成这个任务
[25:44] 它规划出来
[25:45] OK我要完成这个任务的话
[25:47] 我有哪些动作可以去做
[25:49] 对吧
[25:50] 然后所以说它这两个做了一个匹配
[25:52] 然后最终的话是说这样的话
[25:55] OK规划出来的是一个
[25:57] 既能够去帮助完成这个目标
[25:59] 同时这个机器人又能够去达成的
[26:01] 这样的一个任务
[26:02] 这样的一个方法
[26:03] 现在学术圈的论文感觉都还蛮有意思
[26:06] Attention is all you need
[26:07] 然后C can
[26:08] 就是告诉你可以
[26:09] 对对都要给一个这个有意思的名字
[26:13] 比较让比较容易让人记住
[26:16] 然后所以基本上这个是当时
[26:18] 大的一个视频
[26:19] 然后
[26:22] 稍微有点慢
[26:23] 这个不能加速
[26:23] 反正大大这就是User
[26:25] 你给他输入这样的一段话
[26:29] 然后语言模型的话
[26:30] 这边的话会进行相应的拆解
[26:34] 然后完了之后
[26:35] 同时分析那些是能做的
[26:37] 然后做一个匹配
[26:37] 然后他就一步一步去执行
[26:40] 那他不能做不就卡了
[26:43] 不会他会选一个可以做的
[26:44] 相信他有一个list
[26:46] 然后他一定会选一个
[26:48] 他当前可以做的事情
[26:49] 就是只不过不一定最优
[26:51] 所以确实是有这个问题
[26:53] 他不一定能匹配的更好
[26:54] 所以我相信他里面肯定有很多final case
[26:57] 只是没有展现出来
[26:59] OK
[27:01] 然后这个大概是这样
[27:03] 然后那么下一步是什么
[27:06] 刚才可以看到
[27:07] 他把planning用LM来去替代了
[27:09] 那么接下来大家下一步
[27:12] 因为后来就VLM出来了
[27:14] Vision Language Model出来了
[27:16] 大家可以对
[27:17] 基于直接对基于图像进行一些相应的推理
[27:19] 和这样的一个思考
[27:22] 所以说大家想
[27:23] 比如说我们的Perception的这一块
