[00:12] Hello 大家好,我是小骏
[00:14] 今天这期节目我们来到了美国纽约
[12:01] 就是宿舍里面
[12:01] 就是那种我在高中时候
[12:04] 从互联网上看到的那种大学生活你知道吗
[12:08] 就是就是有好好学习的一部分
[12:12] 但也有一些这些找寻自己
[12:16] 然后在这种漫无天日的虚度时光的这样的一个一个经历
[12:22] 所以现在您的人生高光时刻是在虚度时光是吗
[12:26] 在寝室里
[12:28] 可以这么认为的
[12:30] 哎你很有意思啊
[12:31] 你一直在说你不是成绩最好的那些人
[12:34] 但是你你也很顺呀
[12:36] 你也好
[12:36] 你似乎也是成绩最好
[12:37] 那一批啊
[12:38] 为什么你对你自己心里的认知是我的成绩其实是一半呢
[12:42] 我其实就是说我看跟谁比对吧
[12:44] 跟那些最顶尖的竞赛选手
[12:46] 像我刚描述的这颗非常顺利的这个对吧
[12:49] 摇班大神
[12:50] 然后四大PhD四大教授来比
[12:53] 那我真的是啊远远远远不如
[12:56] 但另一方面我觉得我还蛮感恩我所有这段经历的
[13:01] 因为我会觉得啊就接下往后讲的话
[13:05] 其实我觉得还蛮还蛮有意思的啊
[13:07] 比如说在我去交大的时候
[13:11] 其实交大也不一定是一个在计算机方面
[13:14] 人工智能方面一个特别特别领先的这样一个学校
[13:18] 对吧
[13:19] 然后到现在比如像一三班已经变成了一个啊
[13:23] 当然这跟我没什么关系
[13:25] 但我的学弟学妹们包括我的学长们对吧
[13:27] 不管是做创业还是在做学术
[13:31] 然后在各个地方发光发热
[13:32] 然后并且我们有一个很强的这样一个校友的网络啊
[13:36] 大家联系在一起啊
[13:37] 在一起然后做事情
[13:40] 我觉得啊
[13:41] 我觉得我觉得还是啊
[13:44] 是是一个向上的这样一个是扎水吧
[13:46] 向上的一个轨迹嗯啊
[13:48] 再到后来哎
[13:49] 这里面还有一个很有很有意思的事情
[13:52] 我想提一下就一三班会面试
[13:54] 然后面试的过程会有这种老教授的
[13:57] 当初是这个神少教授面试我们啊
[14:01] 这个面试其实不是不是问你一些tackling的问题
[14:04] 他会问你你喜欢读什么书嗯啊
[14:07] 然后我觉得这件事情是明明注定有一些缘分
[14:11] 因为啊我当初非常着急差点答不上来啊
[14:16] 然后我跟他说我其实啊很喜欢看那本书
[14:19] 也是我最近刚看完那本书是这个这本书叫what is mathematics
[14:24] 就是什么是数学
[14:26] 然后沈仁超老师就接着就问说哎那你这本书的作者是谁
[14:31] 要考考我啊
[14:32] 然后我有点懵对
[14:34] 然后你这个对吧一个高中生人家这个
[14:37] 对外国人的名我也记不住
[14:39] 想了想哎这最终还是打出来了是这个Richard Cran
[14:43] 就是理查德科朗
[14:44] 然后沈老师就是说啊对你一定要记住这个名字
[14:48] 因为这是相当于二十世纪最伟大的一名数学家啊
[14:52] 为什么这件事情让我觉得
[14:54] 冥冥之中自有天意或者有一些巧合在这里面呢
[14:57] 是因为现在在nyu我在的这个这个系这个院就是科朗数学科学研究所啊
[15:03] 就是Richard Cran啊
[15:06] 拿铲子挖的第一勺土
[15:07] 对他建起来的这个系
[15:09] 嗯
[15:10] 所以啊我觉得还蛮有意思的对吧
[15:13] 然后到后面申请其实也是一样
[15:15] 我觉得啊
[15:17] 嗯
[15:18] 或者从另外一个角度来来说这件事吧
[15:20] 我觉得我觉得好像这个世界总是不想让我去做我想做的事情
[15:26] 但是但是我偏偏要做我想做的事情啊
[15:30] 啊比如说本科的时候我一开始就对计算机视觉对吧
[15:35] 或者说对人工智能
[15:37] 产生了一些兴趣
[15:39] 啊那时候也是
[15:41] 刚开始就是在A3班大家会在大二开始进行这种这种科研实习
[15:46] 然后会到这个学校里面的不同实验室里面去
[15:49] 然后我去的这个实验室就是一个做啊
[15:52] 神经科学加AI的这样一个实验室啊
[15:55] 叫BCMI
[15:57] 然后书架上放着很多很多关于意识关于大脑关于图像啊
[16:04] 然后关于我们怎么样对
[16:06] 真实世界
[16:07] 产生认知这样的书啊
[16:09] 我看到之后觉得哇太有意思了
[16:12] 然后
[16:13] 呃
[16:14] 后来
[16:15] 在在这个过程中我还认识了我的一个学长啊
[16:18] 这个学长是这个侯小迪
[16:20] 啊
[16:21] 啊
[16:22] 然后他他对他也是丁颖大名
[16:24] 他之前也创业
[16:25] 然后现在也在创业啊
[16:27] 然后我每每跟他聊起来
[16:29] 他总会说
[16:30] 这个世界变了
[16:31] 但我们都没变啊
[16:33] 我们特指我跟他
[16:34] 因为因为我觉得我
[16:36] 我们每次聊的东西就像我们十几年前聊的东西一模一样
[16:40] 对那时候
[16:41] 他是这个学校的一个传奇
[16:43] 对
[16:44] 然后他干了两件传奇的事啊
[16:47] 第一件传奇的事是他作为一个本科生啊
[16:51] 发表了一篇CVPR的论文
[16:54] 对
[16:55] 然后这个论文里面啊
[16:57] 呃是一个非常精巧的算法啊
[16:59] 一共只有七行代码
[17:01] 解决了一个很重要的问题
[17:02] 然后发表了一篇论文
[17:04] 嗯
[17:05] 现在CVPR已经每年接收可能几千几千几千篇论文对吧
[17:09] 好几万篇投稿
[17:10] 所以现在
[17:11] 你像我们要招本科生
[17:13] 然后
[17:14] 大家人手都三篇四篇五篇CVPR已经不算什么了
[17:18] 啊
[17:19] 但在那个时候
[17:20] 在大陆的学校啊
[17:22] 能发表这样一个鼎会的工作其实是非常非常困难的
[17:26] 非常罕见
[17:27] 非常罕见
[17:28] 然后
[17:29] 如果是一个本科生发表这样的工作
[17:32] 我闻所未闻啊
[17:33] 所以所以真的是每一个人都非常非常困难啊
[17:34] 那是每一个人都非常非常佩服他
[17:36] 嗯
[17:37] 但是呢他又做第二件非常厉害的事情是
[17:40] 他呃带领一个team
[17:43] 撰写了一个东西叫做交大生存手册
[17:45] 交大学生生存手册
[17:46] 哦这还是一个team写的
[17:48] 呃应该是他主笔啊
[17:50] 我不知道后面应该有一个团队跟他一起
[17:52] 啊
[17:53] 然后这个东西现在网上还有存档啊
[17:56] 我觉得欢迎大家呃线下可以去看一下
[18:00] 对呃这个手册里面讲了什么东西
[18:03] 然后有些
[18:04] 有些话
[18:05] 对我前两天又回头又重温了一下
[18:07] 啊我觉得非常非常有意思
[18:09] 对呃他讲的事情是什么
[18:11] 就是讲说人为什么要学习
[18:14] 中国的教育体制大学的模式到底哪里错了
[18:18] 你应该把时间花在什么样的地方上
[18:22] 去达到你想要的人生
[18:24] 嗯啊
[18:25] 或者说他也指导大家说怎么样做研究
[18:27] 做研究的目的是什么
[18:29] 做研究的目的不是要灌水发论文
[18:32] 而是真的对这种无限的
[18:33] 未知的探索啊
[18:35] 类似于这样的事情啊
[18:36] 当然里面也会教大家什么怎么样逃课啊
[18:39] 怎么样啊
[18:41] 呃完成作业比较比较快速的方式完成一些作业
[18:45] 对是一个这种小册子
[18:47] 呃我也去读了一下
[18:49] 他说如果一个人把政策评分作为自己的至高追求
[18:52] 那么他就是这个政策的牺牲品
[18:54] 嗯我完全同意
[18:56] 对我觉得这些事情
[18:57] 现在回想起来
[18:58] 可能潜移默化真的影响了我
[19:00] 对很多事情的认知
[19:02] 他在发表这个的时候你大几啊
[19:04] 呃大一大二吧
[19:06] 大一大二
[19:07] 对
[19:08] 大一大二你就认识他了是吗
[19:09] 呃那时候他已经申请成功
[19:11] 然后去了呃加州理工读PhD
[19:13] 哦
[19:14] 所以我跟他是在
[19:15] 因为他也是这个这个实验室毕业的
[19:18] 所以我跟他相当于在网上沟通
[19:20] 呃何小迪当初是在这个加州理工
[19:23] 然后就已经读PhD了
[19:24] 对他也申请到了很好的学校
[19:26] 然后我们都非常非常羡慕啊
[19:28] 在那个时候
[19:29] 然后我跟他还是会在这个当时的
[19:32] 当初是在Google Chat上
[19:33] 然后跟他聊很多很多的话
[19:35] 然后他真的是也是啊
[19:38] 给了我很多很多的建议吧
[19:40] 对
[19:41] 现在还记得有什么建议啊
[19:43] 呃没有
[19:44] 更多的时候在网上跟他聊的时候
[19:46] 更多是聊research
[19:47] 对
[19:48] 到底应该做什么事情
[19:49] 嗯
[19:50] 跟他讲一讲我自己的迷茫啊
[19:52] 然后呃然后怎么样
[19:54] 怎么样能够发出来一篇论文吧
[19:56] 大概向他取取经
[19:58] 对
[19:59] 然后那时候
[20:00] 但那个时候我觉得
[20:02] 通过小迪
[20:03] 然后通过我看的这些书
[20:04] 已经基本上确定了
[20:05] 我觉得我这辈子就想做这个事儿啊
[20:07] 我觉得这件事情可太有意思了
[20:09] 计算机视觉
[20:10] 呃那时候其实并没有这样一个名字在那儿
[20:14] 或者说慢慢开始有计算机视觉
[20:16] 这样一个一个terminology
[20:18] 但其实之前对吧
[20:20] 然后大家去处理图像或者view的信息
[20:22] 已经很长时间了
[20:23] 比如大家会做所谓image processing
[20:26] 就是图像处理啊
[20:27] 呃更多的是从这种we的major开始的
[20:30] 对
[20:31] 然后计算机视觉可能是呃
[20:34] 有呃慢慢变得更加更加popular
[20:37] 嗯对
[20:38] 然后也也就是我开始学习这些之后的
[20:41] 呃这这些知识的时候吧
[20:43] 它开始变得越来越popular
[20:45] 对
[20:46] 然后呃我总说这个世界总不想让我做这件事情
[20:50] 是因为在呃交大一三班的时候
[20:53] 其实还有另外一个特点
[20:55] 是这个班里的每个学学生
[20:57] 在大三的时候都要出去实习一次
[21:00] 嗯
[21:01] 这些东西也蛮常规的
[21:02] 但其实在当时还是就是这个班的主要的这个这个发起人
[21:07] 叫于永老师啊
[21:09] 他的一个创举
[21:10] 所以那时候大部分人就是A三班会跟这个microsoft
[21:14] 呃
[21:15] researchation
[21:16] 就是亚人亚人院有这么一个合作的一个项目
[21:19] 所以会把我们的很多学生送过去
[21:21] 然后做一个大概呃六个月的这样一个实习
[21:25] 对
[21:26] 所以呃我的当初的就是
[21:30] 就是如果我什么都不做的话
[21:31] 我就会去亚亚人院实习
[21:33] 对虽然也很好
[21:34] 但那时候呃其实没有一个做视觉的组
[21:38] 愿意接受A三班的本科生去实习
[21:41] 哦为什么呀
[21:42] 呃我不知道
[21:43] 可能是因为当初你像马毅老师啊孙建老师都在那边啊
[21:47] 啊凯明的时候应该也在那边了
[21:49] 然后我觉得他们可能不喜欢有太多的这些啥也不懂的本科生
[21:54] 哦
[21:55] 过来参与这些事情对吧
[21:56] 他那个他们那个时候非常的人才积极
[21:58] 是的是的是的没错
[21:59] 但但我们真的是什么也不懂
[22:01] 对吧
[22:02] 我觉得我我现在也慢慢能理解啊
[22:04] 呃但那时候
[22:05] 呃有一个选择就是还是去MSRA
[22:09] 但是就不要做什么跟视觉相关的这些
[22:12] research了
[22:13] 啊然后于老师也跟我说说
[22:15] 哎呀其实你们本科生啊现在最重要的还是
[22:18] 有一段研究的经历
[22:20] 学会怎么样做研究
[22:21] 嗯
[22:22] 呃具体做什么样的这个方向
[22:24] 方向不重要
[22:25] 不是很重要
[22:26] 嗯
[22:27] 对啊
[22:28] 但我觉得不行啊
[22:29] 我觉得我没办法接受我去做一个完全不一样的一个一个方向
[22:33] 我希望对这个领域了解的更多
[22:35] 我希望能够踏踏实实的啊做一些事情
[22:39] 然后希望有朝一日能像小迪师兄一样啊
[22:43] 能够发一篇CVPR的论文
[22:45] 对这是我当初的
[22:46] 小迪那时候就已经是你的偶像了是吗
[22:48] 有点有点
[22:49] 他他是很多人的偶像
[22:50] 对在教大的时候
[22:51] 哦
[22:52] 呃然后
[22:54] 所以我就开始琢磨这个事情怎么办啊
[22:57] 然后就开始发邮件
[22:58] 所以联系了这个新加坡的NUS
[23:01] 是吧
[23:02] 啊新加坡国立大学的
[23:03] 呃
[23:04] 盐水城老师的这个实验室
[23:05] 嗯
[23:06] 对啊
[23:07] 这件事情是完全我自己联系的
[23:09] 也没有也没有告诉于老师啊
[23:11] 然后等到敲定说哎
[23:13] 我可以有这么一个时期的机会
[23:15] 啊
[23:16] 然后他那边已经有一些啊补贴
[23:19] 然后说什么时间什么样的这些这些这些架构已经都啊比较完善了
[23:24] 然后我就去找于老师
[23:26] 我说
[23:27] 于老师我实在是不想去亚研院啊
[23:30] 我想去这个新加坡的这个学校的这个组去做我想做的研究
[23:34] 嗯
[23:35] 啊
[23:36] 老师沉默了几秒钟
[23:37] 对
[23:38] 啊
[23:39] 可能我猜啊我不知道我我我还没有问问过他这个问题
[23:42] 但我猜他心里想法是啊
[23:44] 这个学生怎么这么刺头
[23:46] 嗯
[23:47] 因为在老师心中亚研院是一个更好的选择
[23:49] 是的是的啊
[23:50] 一是一个更好的选择
[23:51] 二是我觉得也是能够让大家都听过对吧
[23:56] 能能把大家聚聚合在一起啊
[23:58] 我觉得一是当然也方便管理了
[24:01] 第二也会有一些更多的这种新的这个吧
[24:03] 大家还是可以互相交流啊啊
[24:06] 然后那那你去一个新的地方
[24:08] 这件事情到底意味着什么
[24:09] 嗯
[24:10] 这个地方到底靠不靠谱
[24:11] 你要做的事情靠不靠谱
[24:12] 啊这件事情可能是不可控的
[24:14] 你纠结过吗
[24:15] 我我没有解决
[24:17] 但但于老师我觉得我也非常appreciate他
[24:19] 就是他反而反而沉默了几秒
[24:21] 最后说好啊你去吧
[24:23] 对啊
[24:24] 嗯
[24:25] 然后我就去了
[24:27] 啊但是这件事情啊发生了之后
[24:30] 像水城这个组AOS的这个实验室
[24:33] 变成了我学弟学妹之后的一个
[24:36] 可选择的一个一个一个一个position
[24:39] 嗯
[24:40] 啊所以我觉得啊
[24:42] 对
[24:43] 所以我觉得我还是想take一些主观能动性吧
[24:47] 我觉得take一些initiative
[24:48] 然后去做我自己想做的事情
[24:50] 对
[24:51] 在当时还非常早期
[24:53] 就是和图像相关的
[24:55] 人工智能到底吸引你的是什么呀
[24:57] 嗯
[24:58] 他为什么吸引了你呢
[25:00] 让你做出了很多不一样的选择
[25:03] 因为我觉得
[25:05] 我感受这个世界的方式就是通过视觉
[25:08] 嗯
[25:09] 我会想
[25:10] 我小时候也可能也比较无聊吧
[25:12] 我就会想哎
[25:13] 人有这么多
[25:14] 对吧感官啊
[25:16] 如果非要
[25:17] 让我让我去掉一个的话
[25:19] 我会去掉哪个
[25:20] 我觉得
[25:21] 也许我听不见
[25:22] 也许我没法说话
[25:24] 也许我没有触觉
[25:26] 没有嗅觉啊
[25:27] 我会过得很悲惨
[25:29] 但可能还可以接受
[25:30] 但如果我们没有了视觉啊
[25:32] 那那我不能看动画片
[25:34] 我我也不能看电影
[25:35] 我也不能打游戏了
[25:37] 我似乎是丧失了一个人的独立性
[25:40] 然后我觉得当然这件事情
[25:42] 这些最开始的想法
[25:43] 和后来我看到的一些书里面
[25:45] 呃讲的事情
[25:46] 我觉得也蛮不谋而合的吧
[25:48] 嗯
[25:49] 因为你想想视觉信号
[25:51] 其实占了人的大脑这个皮层
[25:54] 呃看你怎么说对吧
[25:55] 就主要的视觉区域
[25:56] 可能有百分之
[25:57] 呃百分之三十占整个大脑
[25:59] 但呃整个大脑
[26:01] 在你看到这个图像的时候
[26:03] 啊激活的部分
[26:04] 可能要占到百分之七十
[26:05] 嗯
[26:06] 对吧
[26:07] 所以其实我们
[26:08] 所有的人都是视觉动物
[26:10] 啊
[26:11] 然后这件事情
[26:13] 对
[26:14] 我我是这么觉得的
[26:15] 我也是一个视觉动物
[26:16] 我也很喜欢
[26:17] 啊
